timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623065940932,12,Index page,200,OK,Thread Group 1-1,text,true,,2457,542,1,1,http://127.0.0.1/tms/admin/index.php,12,0,2
1623065940944,9,Login form -exe,200,OK,Thread Group 1-1,text,true,,2476,715,1,1,http://127.0.0.1/tms/admin/index.php,9,0,0
1623065940953,20,Dashboard page,200,OK,Thread Group 1-1,text,true,,9871,546,1,1,http://127.0.0.1/tms/admin/dashboard.php,16,0,0
1623065940973,12,Manage pages,200,OK,Thread Group 1-1,text,true,,11023,553,1,1,http://127.0.0.1/tms/admin/manage-pages.php,9,0,0
1623065941086,27,Select the page to edit,200,OK,Thread Group 1-1,text,true,,11290,569,1,1,http://127.0.0.1/tms/admin/manage-pages.php?type=contact,23,0,0
1623065941113,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,537,0,1,1,null,0,0,0
1623065941113,16,Edit the selected page,200,OK,Thread Group 1-1,text,true,,11108,1294,1,1,http://127.0.0.1/tms/admin/manage-pages.php?type=manage-pages.php?type=contact,12,0,0
1623065941129,13,Logout,200,OK,Thread Group 1-1,text,true,,2875,1106,1,1,http://127.0.0.1/tms/admin/index.php,7,0,0
1623065941129,7,Logout-0,302,Found,Thread Group 1-1,text,true,,477,563,1,1,http://127.0.0.1/tms/admin/logout.php,7,0,0
1623065941136,6,Logout-1,200,OK,Thread Group 1-1,text,true,,2398,543,1,1,http://127.0.0.1/tms/admin/index.php,6,0,0
1623065941142,17,Index page,200,OK,Thread Group 1-1,text,true,,2398,543,1,1,http://127.0.0.1/tms/admin/index.php,17,0,0
